meal_id,meal_type,name,calories,protein,carbs,fat,diet,cuisine,source
1,Breakfast,Masala Omelette,233,14,6,17,Non-Vegetarian,Maharashtrian,BBC Good Food
2,Snack,Oatmeal Cookies (Low Sugar),314,10,37,10,Vegetarian,Andhra,Archana's Kitchen
3,Dinner,Matar Paneer,228,10,19,11,Vegetarian,South Indian,Veg Recipes of India
4,Dinner,Peanut Curry,237,9,13,15,Vegan,North Indian,Veg Recipes of India
5,Dinner,Chicken Tikka,342,16,19,15,Non-Vegetarian,Tamil Nadu,Neha Mathur
6,Snack,Carrot and Cucumber Sticks,179,3,35,5,Vegetarian,South Indian,Neha Mathur
7,Dinner,Keema (Minced Meat) Pav,363,23,34,12,Non-Vegetarian,Kashmiri,Tarla Dalal
8,Lunch,Pumpkin Curry,190,8,24,9,Vegan,Hyderabadi,Allrecipes
9,Snack,Roasted Chickpeas,266,17,36,6,Vegan,Maharashtrian,Swasthis Recipes
10,Dinner,Tofu Palak,323,12,19,14,Vegetarian,Rajasthani,Veg Recipes of India
11,Lunch,Saag Paneer,161,13,14,6,Vegetarian,Gujarati,Allrecipes
12,Breakfast,Vegetable Upma,261,11,37,8,Vegetarian,South Indian,Manjula's Kitchen
13,Dinner,Paneer Bhurji,205,13,17,7,Vegetarian,Kashmiri,Sanjeev Kapoor
14,Dinner,Chicken Shorba,168,14,8,6,Non-Vegetarian,Hyderabadi,Manjula's Kitchen
15,Lunch,Chana Masala,293,16,34,8,Vegetarian,North Indian,Tarla Dalal
16,Lunch,Vegetable Biryani,232,10,39,4,Vegetarian,Bengali,Archana's Kitchen
17,Lunch,Chicken Stew (Kerala),224,25,7,8,Non-Vegetarian,Kerala,Archana's Kitchen
18,Dinner,Vegetable Coconut Curry,245,9,18,12,Vegan,Kashmiri,Manjula's Kitchen
19,Snack,Millet Porridge (Gluten-Free),265,7,55,2,Vegetarian,South Indian,Allrecipes
20,Lunch,Dal Tadka,251,15,29,8,Vegetarian,Bengali,Manjula's Kitchen
21,Dinner,Paneer Tikka,206,15,8,12,Vegetarian,Punjabi,HealthifyMe
22,Lunch,Chicken Curry,299,19,17,15,Non-Vegetarian,Kashmiri,NDTV Food
23,Snack,Masala Corn,274,10,50,4,Vegetarian,North Indian,Neha Mathur
24,Dinner,Green Gram Curry,324,9,45,12,Vegetarian,Gujarati,Veg Recipes of India
25,Snack,Vegetable Sandwich (Whole Grain),244,8,45,3,Vegetarian,Andhra,Veg Recipes of India
26,Dinner,Grilled Fish (Masala),216,24,12,6,Non-Vegetarian,Gujarati,Allrecipes
27,Snack,Sprouts Chaat,358,23,45,4,Vegan,North Indian,Neha Mathur
28,Breakfast,Muesli with Yogurt,305,11,57,4,Vegetarian,South Indian,Manjula's Kitchen
29,Snack,Nuts and Dried Fruit Mix,335,9,29,22,Vegan,Andhra,Rak's Kitchen
30,Lunch,Paneer Masala (Lababdar),193,13,12,9,Vegetarian,Kashmiri,NDTV Food
31,Lunch,Coconut Dal,167,13,12,5,Vegan,Hyderabadi,Veg Recipes of India
32,Dinner,Chicken Shashlik,214,19,13,7,Non-Vegetarian,Tamil Nadu,BBC Good Food
33,Snack,Roasted Sweet Potato Wedges,251,3,57,1,Vegan,Kashmiri,Veg Recipes of India
34,Dinner,Spinach Soup,261,11,20,14,Vegan,North Indian,Allrecipes
35,Lunch,Chicken Tikka Masala,345,23,23,17,Non-Vegetarian,Hyderabadi,Allrecipes
36,Snack,Fruity Yogurt Parfait,362,15,55,6,Vegetarian,Kashmiri,NDTV Food
37,Dinner,Masoor Dal Tadka,182,13,17,4,Vegetarian,Hyderabadi,Veg Recipes of India
38,Lunch,Chicken Saagwala,368,26,9,19,Non-Vegetarian,Tamil Nadu,Neha Mathur
39,Snack,Cucumber Slices with Hummus,286,8,16,21,Vegan,South Indian,Swasthis Recipes
40,Lunch,Tofu Tikka Masala (Dairy-Free),371,20,32,14,Vegan,North Indian,Allrecipes
41,Snack,Vegetable Cutlet (Baked),168,12,18,5,Vegetarian,Marathi,Manjula's Kitchen
42,Dinner,Sambar (Lentil Stew),301,12,39,15,Vegetarian,Kashmiri,Veg Recipes of India
43,Lunch,Bajra Roti,245,4,46,3,Vegetarian,South Indian,HealthifyMe
44,Snack,Roasted Makhana (Foxnuts),309,17,55,3,Vegan,Punjabi,HealthifyMe
45,Dinner,Kadai Chicken,226,10,14,11,Non-Vegetarian,North Indian,Manjula's Kitchen
46,Lunch,Vegetable Pulao,225,5,40,5,Vegetarian,Kashmiri,NDTV Food
47,Dinner,Grilled Salmon Tikka,245,17,7,12,Non-Vegetarian,Andhra,Sanjeev Kapoor
48,Snack,Coconut Water,291,4,69,3,Vegan,Kerala,NDTV Food
49,Dinner,Grilled Prawns,209,21,13,6,Non-Vegetarian,South Indian,Archana's Kitchen
50,Dinner,Lemon Pepper Fish,184,20,0,8,Non-Vegetarian,Punjabi,Neha Mathur
51,Lunch,Lauki (Bottle Gourd) Curry,220,13,27,4,Vegetarian,Kashmiri,Manjula's Kitchen
52,Snack,Idli (Steamed Rice Cakes),375,12,18,13,Vegetarian,South Indian,Veg Recipes of India
53,Dinner,Dal Palak,184,12,21,4,Vegetarian,Maharashtrian,NDTV Food
54,Snack,Vegetable Stew (No Dairy),301,7,38,14,Vegan,Kerala,Sanjeev Kapoor
